Account_number,PORTFOLIO,SSN,Phone No. ,City,State,Account Open Date,Loan_amount,Origination_fico_score,Current_fico_score,Current_outstanding
38675696,CREDIT CARD,459-99-4037,212-607-3431,Dresden,NY,2018-08-26,48789,804,849,9269.91
38675697,PERSONAL LOAN,184-86-4401,203-236-5334,New Haven,CT,2018-03-13,107674,677,700,48453.3
38675698,MORTGAGE,764-29-9905,218-643-6178,Britt,MN,2021-08-24,128624,804,831,25724.800000000003
38675699,MORTGAGE,149-23-4508,316-406-3206,Wichita,KS,2020-07-09,472788,840,858,198570.96
38675700,CREDIT CARD,368-39-6473,201-263-5704,Saddle Brook,NJ,2019-12-11,62759,867,878,26986.37
38675701,PERSONAL LOAN,434-99-4106,316-300-8279,Wichita,KS,2018-05-07,101178,666,694,5058.900000000001
38675702,CREDIT CARD,011-94-7294,207-268-6643,Turner,ME,2019-12-11,43376,891,882,14314.08
38675703,PERSONAL LOAN,266-99-1443,215-218-5890,Quakake,PA,2021-04-27,60202,742,774,17458.579999999998
38675704,CREDIT CARD,078-02-2849,423-768-1284,Belvidere,TN,2018-04-13,99060,735,777,45567.6
38675705,MORTGAGE,034-92-7082,209-991-1533,El Monte,CA,2021-08-24,410182,879,872,57425.48
38675706,CREDIT CARD,092-02-4445,209-729-4574,Clipper Mills,CA,2021-08-04,74436,763,787,14142.84
38675707,MORTGAGE,497-29-9055,209-333-5855,Korbel,CA,2021-08-24,616949,717,728,283796.54000000004
38675708,PERSONAL LOAN,754-07-0630,212-625-9115,New York City,NY,2021-08-08,104954,840,884,12594.48
38675709,CREDIT CARD,148-23-0524,339-392-9664,Boston,MA,2021-07-03,78429,735,734,25097.28
38675710,MORTGAGE,273-17-6091,206-391-0167,Tacoma,WA,2020-04-15,927863,805,830,241244.38
38675711,CREDIT CARD,447-27-9928,339-897-8921,Worcester,MA,2018-02-01,50436,791,811,13617.720000000001
38675712,MORTGAGE,336-11-3065,228-865-0644,Richland,MS,2018-08-18,656741,741,785,295533.45
38675713,MORTGAGE,144-23-3653,218-613-9745,Dennison,MN,2019-10-14,909920,870,893,0.0
38675714,MORTGAGE,097-02-5243,206-245-6117,Ardenvoir,WA,2019-11-15,441940,679,674,216550.6
38675715,CREDIT CARD,551-99-1176,231-585-3409,Cooks,MI,2020-10-18,38344,869,894,13803.84
38675716,CREDIT CARD,537-71-4180,385-239-9814,Paradise,UT,2018-11-12,68598,858,858,21951.36
38675717,MORTGAGE,587-99-2726,423-490-1345,Palmersville,TN,2018-03-19,302715,832,882,108977.4
38675718,MORTGAGE,125-98-8196,212-909-7619,Staatsburg,NY,2021-03-13,312648,662,679,65656.08
38675719,MORTGAGE,561-99-9442,209-691-0139,Orange,CA,2019-07-24,988053,757,756,454504.38
38675720,CREDIT CARD,612-87-3786,236-826-3072,Richmond,VA,2019-02-26,69440,811,817,27081.600000000002
38675721,CREDIT CARD,228-99-6028,262-582-6534,Milton,WI,2019-03-24,67634,754,786,32464.32
38675722,PERSONAL LOAN,423-67-9525,316-722-2369,Winfield,KS,2018-10-20,51683,825,849,11887.09
38675723,MORTGAGE,304-37-5906,209-540-2431,San Diego,CA,2019-08-03,571070,749,798,0.0
38675724,CREDIT CARD,472-57-2474,216-431-9363,Coolville,OH,2020-10-12,52493,664,695,8398.880000000001
38675725,MORTGAGE,531-71-8876,205-974-9883,Toney,AL,2018-06-25,967276,843,857,154764.16
38675726,MORTGAGE,559-99-7086,270-550-0563,Campbellsburg,KY,2020-07-24,492413,829,847,142799.77
38675727,PERSONAL LOAN,422-67-1274,216-878-6105,Lakeside Marblehead,OH,2018-06-26,152224,721,758,1522.24
38675728,MORTGAGE,664-22-6615,208-681-0132,Nordman,ID,2021-06-12,179802,732,753,28768.32
38675729,PERSONAL LOAN,379-37-8620,228-276-8462,Taylor,MS,2021-08-24,161858,695,701,53413.14
38675730,CREDIT CARD,361-08-7018,212-585-4894,Chippewa Bay,NY,2019-07-02,98670,841,845,13813.800000000001
38675731,PERSONAL LOAN,128-98-0786,314-677-9481,Republic,MO,2020-06-06,170823,856,883,54663.36
38675732,MORTGAGE,109-98-3364,209-430-9324,Pasadena,CA,2018-04-27,280401,717,716,106552.38
38675733,CREDIT CARD,619-87-9639,216-422-1843,Dayton,OH,2019-12-16,42251,824,857,10562.75
38675734,PERSONAL LOAN,676-22-8739,209-543-0559,Sacramento,CA,2020-03-20,75054,795,796,0.0
38675735,MORTGAGE,211-84-9211,212-935-3382,Jamesport,NY,2019-02-10,684396,824,847,130035.24
38675736,MORTGAGE,629-31-5654,205-257-3386,Birmingham,AL,2018-01-08,149835,894,939,1498.3500000000001
38675737,CREDIT CARD,296-15-8344,217-772-2093,Davis Junction,IL,2019-03-25,92745,722,733,40807.8
38675738,MORTGAGE,330-11-9948,252-464-5252,Colerain,NC,2019-10-04,728403,892,890,254941.05
38675739,CREDIT CARD,019-94-5854,239-374-1125,Brooksville,FL,2021-06-04,83773,854,881,5864.110000000001
38675740,CREDIT CARD,155-23-7201,236-964-1261,Oyster,VA,2019-01-19,39568,779,799,5935.2
38675741,MORTGAGE,389-33-8179,236-237-7244,Greenbush,VA,2020-01-18,724905,653,651,297211.05
38675742,MORTGAGE,690-22-1630,339-391-4066,Great Barrington,MA,2018-05-22,993430,677,668,168883.1
38675743,MORTGAGE,488-29-9544,229-585-7439,Fort Stewart,GA,2018-07-10,108635,672,667,54317.5
38675744,MORTGAGE,262-99-7503,212-843-7906,Blodgett Mills,NY,2018-08-01,506411,874,912,70897.54000000001
38675745,CREDIT CARD,075-02-4615,210-539-1920,Silsbee,TX,2018-06-19,81681,763,765,29405.16
38675746,CREDIT CARD,361-08-3044,339-850-4492,Woods Hole,MA,2018-03-17,71620,842,873,25067.0
38675747,CREDIT CARD,346-08-3650,210-239-4362,Wadsworth,TX,2018-02-20,54265,741,738,20620.7
38675748,CREDIT CARD,168-86-6837,212-667-1641,Syracuse,NY,2021-08-24,52883,679,714,23797.350000000002
38675749,CREDIT CARD,489-29-0159,216-322-7974,Arcanum,OH,2018-06-27,69473,807,798,34736.5
38675750,MORTGAGE,471-57-6735,209-979-9199,Camp Nelson,CA,2018-03-03,224258,778,814,2242.58
38675751,PERSONAL LOAN,677-22-1063,239-781-0497,Satsuma,FL,2021-08-19,182285,766,806,1822.8500000000001
38675752,MORTGAGE,458-99-1265,217-847-4049,Jacksonville,IL,2018-12-22,749264,836,826,277227.68
38675753,MORTGAGE,185-86-9345,210-807-9198,Carey,TX,2019-12-27,131706,870,871,3951.18
38675754,MORTGAGE,133-98-3530,605-857-5101,Vale,SD,2018-10-01,599744,851,869,287877.12
38675755,MORTGAGE,353-08-9212,210-644-5882,Roosevelt,TX,2019-01-23,583486,692,686,151706.36000000002
38675756,CREDIT CARD,103-02-7624,225-673-8296,Quitman,LA,2019-10-03,97746,818,844,30301.26
38675757,CREDIT CARD,436-99-3744,209-438-1881,Delhi,CA,2020-01-16,39448,736,727,3155.84
38675758,CREDIT CARD,240-99-7532,215-284-1611,Eldred,PA,2021-04-05,63370,841,886,10139.2
38675759,MORTGAGE,589-99-5055,228-287-3058,Rienzi,MS,2019-08-09,553273,845,869,160449.16999999998
38675760,MORTGAGE,214-91-8539,218-959-0048,Boy River,MN,2020-10-10,797190,705,755,95662.8
38675761,CREDIT CARD,708-18-6950,215-688-4810,Ligonier,PA,2020-03-03,75056,724,752,8256.16
38675762,CREDIT CARD,429-99-1133,209-889-0643,Fresno,CA,2019-07-04,59709,836,862,20301.06
38675763,CREDIT CARD,406-73-0081,262-292-7063,Francis Creek,WI,2018-01-20,79749,746,758,23924.7
38675764,CREDIT CARD,282-15-7413,308-645-7464,Martell,NE,2018-04-10,61890,834,847,3094.5
38675765,MORTGAGE,138-25-9597,209-251-9275,Monterey,CA,2019-02-08,616819,817,862,240559.41
38675766,PERSONAL LOAN,606-87-9998,218-923-6612,Minneapolis,MN,2021-02-17,194980,773,807,66293.20000000001
38675767,MORTGAGE,402-73-5310,209-468-5436,Hollister,CA,2018-04-03,387286,838,873,73584.34
38675768,CREDIT CARD,428-99-3430,210-495-1214,Anthony,TX,2018-03-06,76102,876,918,19025.5
38675769,CREDIT CARD,597-92-4344,215-548-9066,Wells Tannery,PA,2020-06-05,52188,893,936,3131.2799999999997
38675770,CREDIT CARD,170-86-8079,209-962-6431,Garden Grove,CA,2020-11-09,74952,752,765,32978.88
38675771,CREDIT CARD,501-37-6294,231-348-8217,Troy,MI,2020-03-09,38835,831,825,11262.15
38675772,CREDIT CARD,657-36-6555,209-300-4458,Pleasanton,CA,2020-03-12,97408,724,758,7792.64
38675773,PERSONAL LOAN,625-85-0883,210-526-0472,Amarillo,TX,2018-09-18,97782,808,829,23467.68
38675774,MORTGAGE,293-15-2608,212-710-9515,Genoa,NY,2019-08-08,866704,725,755,69336.32
38675775,MORTGAGE,682-24-8116,205-391-7944,Minter,AL,2018-03-22,298543,669,683,128373.49
38675776,MORTGAGE,100-02-2537,803-472-2861,Blythewood,SC,2021-03-19,164083,812,813,3281.66
38675777,CREDIT CARD,707-18-0939,252-454-2280,Bath,NC,2020-06-17,68415,858,906,8893.95
38675778,CREDIT CARD,142-23-9096,219-892-7779,Fulton,IN,2018-04-06,49171,691,719,24585.5
38675779,PERSONAL LOAN,258-99-0392,339-879-9656,Newton,MA,2020-05-01,146665,830,834,10266.550000000001
38675780,CREDIT CARD,037-74-7903,239-552-4588,Boca Raton,FL,2019-05-23,49569,854,904,20323.289999999997
38675781,CREDIT CARD,286-15-3266,603-329-5781,Hudson,NH,2020-06-21,45570,686,732,455.7
38675782,PERSONAL LOAN,657-36-6339,217-661-5635,Whittington,IL,2021-03-02,174979,725,768,34995.8
38675783,MORTGAGE,100-02-2264,212-420-0894,Jamaica,NY,2018-11-01,708714,827,840,77958.54
38675784,PERSONAL LOAN,119-98-4963,208-404-0303,Pocatello,ID,2019-04-17,189363,702,736,62489.79
38675785,MORTGAGE,759-12-8650,702-871-4764,Moapa,NV,2021-08-24,416458,883,897,49974.96
38675786,PERSONAL LOAN,012-94-1411,231-594-9998,Midland,MI,2021-08-24,62494,832,869,14373.62
38675787,PERSONAL LOAN,419-67-7411,319-849-1695,Granger,IA,2020-11-13,192857,742,737,28928.55
38675788,PERSONAL LOAN,636-31-6807,210-818-3168,Helotes,TX,2021-08-24,171041,765,807,41049.84
38675789,CREDIT CARD,148-23-4910,209-925-5518,Fresno,CA,2021-08-24,99272,889,900,23825.28
38675790,MORTGAGE,419-67-4668,215-992-0283,Bakerstown,PA,2019-01-08,537012,675,672,37590.840000000004
38675791,PERSONAL LOAN,727-10-9041,219-722-4598,Talbot,IN,2018-11-18,71092,668,659,4265.5199999999995
38675792,PERSONAL LOAN,243-99-2309,216-508-8849,Wellington,OH,2019-02-25,191497,864,860,70853.89
38675793,CREDIT CARD,037-74-1893,216-863-6831,Weston,OH,2019-07-10,70057,712,762,700.57
38675794,CREDIT CARD,575-99-4749,702-383-8402,Carson City,NV,2020-11-01,27274,889,904,9818.64
38675795,CREDIT CARD,607-87-4894,270-824-4643,Stone,KY,2020-01-25,25087,744,749,1756.0900000000001
38675796,CREDIT CARD,511-33-1121,304-513-5510,Idamay,WV,2020-07-03,95682,855,880,15309.12
38675797,MORTGAGE,119-98-6478,503-781-9992,Oregon City,OR,2021-01-20,599619,687,726,17988.57
38675798,MORTGAGE,189-86-3572,270-319-8770,Lowes,KY,2021-03-01,608160,806,835,297998.4
38675799,CREDIT CARD,475-55-2238,206-262-9368,Spokane,WA,2021-02-27,57362,804,816,12046.02
38675800,MORTGAGE,609-87-8676,503-998-3814,Keizer,OR,2018-04-04,818247,803,815,0.0
38675801,PERSONAL LOAN,567-99-7579,229-398-8792,Darien,GA,2021-08-24,69236,678,717,3461.8
38675802,PERSONAL LOAN,763-12-1337,218-476-8302,Spring Grove,MN,2020-07-03,92879,786,796,21362.170000000002
38675803,CREDIT CARD,057-02-2877,212-770-8814,Elmira,NY,2020-11-25,41599,688,726,19967.52
38675804,MORTGAGE,363-39-1193,218-853-6926,Renville,MN,2019-04-17,928472,828,857,157840.24000000002
38675805,CREDIT CARD,474-55-1136,319-262-9518,Fairbank,IA,2018-10-22,69455,682,710,19447.4
38675806,CREDIT CARD,201-84-1526,216-457-6411,Dayton,OH,2018-01-18,96962,699,693,33936.7
38675807,CREDIT CARD,662-22-8143,907-306-5519,Tok,AK,2020-11-01,40474,747,765,4452.14
38675808,MORTGAGE,223-99-0667,239-392-0511,Winter Park,FL,2018-02-03,631240,805,854,302995.2
38675809,MORTGAGE,151-23-5124,209-541-0962,San Diego,CA,2019-10-10,930654,852,901,307115.82
38675810,MORTGAGE,556-99-5902,216-388-5011,Hannibal,OH,2020-12-07,651958,690,690,52156.64
38675811,PERSONAL LOAN,654-38-3901,207-353-4522,Bingham,ME,2021-05-12,133647,712,753,49449.39
38675812,CREDIT CARD,523-99-9876,316-953-2731,Alton,KS,2019-10-09,28930,773,815,7811.1
38675813,CREDIT CARD,357-08-4547,603-833-4409,Antrim,NH,2021-03-21,31689,710,747,13626.27
38675814,MORTGAGE,301-15-9507,215-921-8517,Commodore,PA,2019-06-02,874259,789,797,340961.01
38675815,PERSONAL LOAN,723-18-5545,209-820-3362,Earp,CA,2019-09-15,150604,736,733,73795.95999999999
38675816,CREDIT CARD,724-28-7382,270-603-4251,Burkesville,KY,2019-08-14,25710,753,749,3085.2
38675817,PERSONAL LOAN,019-94-6441,217-757-3651,Logan,IL,2020-12-02,55118,900,907,10472.42
38675818,MORTGAGE,433-99-5669,228-934-3842,Kokomo,MS,2019-01-10,475861,815,837,61861.93
38675819,CREDIT CARD,120-98-3003,262-238-2078,Cumberland,WI,2020-05-01,87341,860,866,41923.68
38675820,MORTGAGE,179-86-2524,231-330-8234,Brutus,MI,2018-03-04,619114,834,841,167160.78
38675821,CREDIT CARD,040-15-4875,208-960-4975,Boise,ID,2019-06-11,61683,659,664,26523.69
38675822,PERSONAL LOAN,721-18-0994,205-229-0401,Vance,AL,2019-11-15,114373,839,859,30880.710000000003
38675823,MORTGAGE,451-99-5733,215-768-3208,Carlisle,PA,2018-03-20,260024,859,849,111810.31999999999
38675824,PERSONAL LOAN,369-39-0425,236-348-0347,Ashburn,VA,2019-01-23,64140,655,658,641.4
38675825,CREDIT CARD,258-99-5945,209-612-7172,San Francisco,CA,2019-07-11,48909,734,763,10759.98
38675826,MORTGAGE,417-67-0368,205-231-0107,Montgomery,AL,2018-05-19,144949,694,741,4348.47
38675827,CREDIT CARD,349-08-7724,212-391-1794,Poplar Ridge,NY,2021-04-23,89696,768,811,40363.200000000004
38675828,CREDIT CARD,408-99-6986,209-297-8750,San Luis Obispo,CA,2018-02-26,78413,719,720,18819.12
38675829,MORTGAGE,186-86-2784,216-908-1530,Jewell,OH,2021-05-17,310734,840,835,43502.76
38675830,MORTGAGE,558-99-1960,207-294-7375,Blaine,ME,2021-08-24,459512,877,870,147043.84
38675831,CREDIT CARD,036-74-2497,212-717-5372,Skaneateles Falls,NY,2018-02-25,84467,755,791,5912.6900000000005
38675832,MORTGAGE,041-15-3894,219-543-4111,Clarks Hill,IN,2020-11-23,762808,826,823,381404.0
38675833,PERSONAL LOAN,573-99-0551,215-771-1839,Warren Center,PA,2018-10-23,113141,766,787,19233.97
38675834,PERSONAL LOAN,166-86-2222,304-793-9118,Bramwell,WV,2018-04-10,162616,841,871,11383.12
38675835,CREDIT CARD,570-99-8102,212-477-3983,New York City,NY,2018-07-19,70034,852,882,0.0
38675836,CREDIT CARD,407-73-3614,208-573-9590,Arbon,ID,2018-11-05,74486,659,676,10428.04
38675837,MORTGAGE,315-35-1438,215-845-4387,Philadelphia,PA,2021-06-11,823278,804,827,279914.52
38675838,PERSONAL LOAN,043-15-0884,201-432-4752,Manasquan,NJ,2018-01-13,72277,730,728,28910.800000000003
38675839,PERSONAL LOAN,043-15-2125,240-632-0165,Suburb Maryland Fac,MD,2020-03-12,64588,883,924,17438.760000000002
38675840,MORTGAGE,255-99-4393,252-602-0856,Danbury,NC,2018-01-20,435269,676,680,147991.46000000002
38675841,CREDIT CARD,299-15-9670,405-300-7962,Gene Autry,OK,2018-05-19,37527,883,880,7505.400000000001
38675842,MORTGAGE,484-41-5958,209-237-6189,Poway,CA,2019-12-20,190450,765,773,87607.0
38675843,PERSONAL LOAN,403-73-6677,480-263-8957,Hualapai,AZ,2021-08-24,197147,707,703,84773.20999999999
38675844,CREDIT CARD,495-29-5259,240-971-6069,Huntingtown,MD,2018-09-06,25139,801,823,4525.0199999999995
38675845,CREDIT CARD,326-11-6501,216-334-3857,Rawson,OH,2021-05-03,39540,712,709,7908.0
38675846,PERSONAL LOAN,537-71-8740,205-960-7844,Snow Hill,AL,2019-03-12,93931,682,716,35693.78
38675847,PERSONAL LOAN,650-62-3406,210-279-7899,Corpus Christi,TX,2019-01-12,149422,684,696,56780.36
38675848,CREDIT CARD,396-33-1023,423-742-5894,Trenton,TN,2019-06-06,92107,756,754,40527.08
38675849,CREDIT CARD,660-24-5219,212-665-5857,New Haven,NY,2018-11-28,47800,721,739,478.0
38675850,MORTGAGE,271-17-8805,229-678-6631,Savannah,GA,2018-01-20,424189,673,695,123014.81
38675851,CREDIT CARD,596-94-8487,209-513-7030,Sun City,CA,2019-08-17,25162,771,764,3271.06
38675852,PERSONAL LOAN,621-85-7274,307-807-3496,Tie Siding,WY,2021-08-24,58686,793,826,8216.04
38675853,PERSONAL LOAN,497-29-6138,225-941-0253,Evans,LA,2019-07-19,67751,707,742,4065.06
38675854,PERSONAL LOAN,012-94-9008,303-593-1964,Avon,CO,2018-01-08,95411,888,917,36256.18
38675855,CREDIT CARD,149-23-7630,423-923-8888,Nunnelly,TN,2020-10-23,93439,860,852,6540.7300000000005
38675856,MORTGAGE,216-89-5385,210-579-4539,Conroe,TX,2021-04-06,603822,824,856,84535.08
38675857,CREDIT CARD,233-57-1610,217-632-5833,Dolton,IL,2020-12-16,30543,877,897,1832.58
38675858,PERSONAL LOAN,334-11-0488,239-532-5757,Fort Lauderdale,FL,2020-05-14,173572,653,648,8678.6
38675859,PERSONAL LOAN,017-94-1073,701-293-8514,Solen,ND,2018-07-28,163999,807,806,18039.89
38675860,PERSONAL LOAN,358-08-7509,225-398-7186,Ruby,LA,2019-02-01,91839,736,786,28470.09
38675861,MORTGAGE,725-18-1013,205-833-3888,Adger,AL,2018-08-10,999639,830,862,279898.92000000004
38675862,MORTGAGE,576-99-7662,228-847-2425,Florence,MS,2020-05-05,218737,669,696,96244.28
38675863,MORTGAGE,237-99-8585,803-231-3445,Edisto Island,SC,2018-04-14,662669,702,695,172293.94
38675864,MORTGAGE,607-87-1582,423-828-2102,Memphis,TN,2019-01-07,115206,872,862,32257.680000000004
38675865,CREDIT CARD,239-99-5758,308-465-8205,Oshkosh,NE,2019-12-07,61311,788,828,28203.06
38675866,PERSONAL LOAN,325-11-3233,702-914-8879,Pahrump,NV,2018-03-24,104102,780,784,16656.32
38675867,CREDIT CARD,160-86-4471,239-969-3721,Seminole,FL,2021-02-24,53033,888,878,18561.55
38675868,MORTGAGE,401-73-6317,479-458-2451,Fort Smith,AR,2020-10-17,831044,740,755,249313.19999999998
38675869,PERSONAL LOAN,527-99-4289,405-775-5074,Bowring,OK,2019-08-05,30044,657,659,12017.6
38675870,MORTGAGE,198-84-3180,209-637-4538,Los Altos,CA,2018-09-08,920076,898,913,294424.32
38675871,CREDIT CARD,714-18-2562,209-367-1881,Talmage,CA,2021-07-13,99685,744,760,48845.65
38675872,MORTGAGE,575-99-6214,201-304-3896,Shrewsbury,NJ,2021-08-24,519488,856,884,88312.96
38675873,PERSONAL LOAN,013-94-7077,210-332-3285,Peaster,TX,2019-04-25,81134,692,701,26774.22
38675874,MORTGAGE,299-15-1767,505-540-1312,Fairacres,NM,2018-01-21,601471,754,789,198485.43000000002
38675875,CREDIT CARD,645-29-1222,319-607-2963,Iowa City,IA,2021-02-24,79926,714,744,19182.239999999998
38675876,MORTGAGE,326-11-6549,210-704-4602,Laredo,TX,2020-10-24,370925,805,837,111277.5
38675877,CREDIT CARD,572-99-1630,239-332-4125,Port Richey,FL,2019-03-12,51789,704,718,13465.140000000001
38675878,MORTGAGE,240-99-6538,205-878-3616,Huntsville,AL,2021-08-24,238435,694,705,88220.95
38675879,PERSONAL LOAN,263-99-8347,210-298-4508,Dodd City,TX,2021-08-17,51425,673,705,4628.25
38675880,MORTGAGE,254-99-8383,225-823-5233,Heflin,LA,2018-01-21,286989,750,753,20089.230000000003
38675881,CREDIT CARD,018-94-7482,304-396-1384,Cottle,WV,2019-11-09,46632,719,739,10725.36
38675882,MORTGAGE,660-24-3317,236-226-8365,Roanoke,VA,2020-01-15,773038,804,841,262832.92000000004
38675883,CREDIT CARD,711-18-6364,605-872-6554,Pierpont,SD,2020-01-15,79622,676,708,15924.400000000001
38675884,MORTGAGE,082-02-3557,210-551-8953,San Antonio,TX,2019-08-16,563980,890,910,281990.0
38675885,MORTGAGE,370-37-1201,319-370-1351,Lohrville,IA,2018-09-13,302555,781,813,12102.2
38675886,MORTGAGE,178-86-1212,218-987-4972,Bena,MN,2020-04-03,251682,765,765,62920.5
38675887,CREDIT CARD,187-86-7231,215-588-1640,Montgomeryville,PA,2019-10-21,39034,897,905,2732.38
38675888,CREDIT CARD,163-86-9691,803-901-1427,Seabrook,SC,2019-01-10,92618,679,724,39825.74
38675889,PERSONAL LOAN,341-11-1386,231-325-2816,Mount Pleasant,MI,2019-04-06,57264,837,853,13170.720000000001
38675890,CREDIT CARD,706-18-7610,210-487-5352,Sarita,TX,2019-03-05,93488,707,703,16827.84
38675891,MORTGAGE,750-20-7438,209-630-4805,Santa Ana,CA,2018-04-27,979807,672,687,137172.98
38675892,MORTGAGE,757-12-5191,314-814-0817,Tallapoosa,MO,2020-08-15,927256,802,842,101998.16
38675893,PERSONAL LOAN,584-99-3666,308-555-7066,Surprise,NE,2020-03-27,160592,819,867,20876.96
38675894,CREDIT CARD,622-85-3180,231-379-3919,Cornell,MI,2020-01-14,48331,844,887,7249.65
38675895,CREDIT CARD,685-24-3004,319-304-3589,Mineola,IA,2018-09-14,35885,856,887,12200.900000000001
38675896,CREDIT CARD,427-99-4240,314-954-7788,Perryville,MO,2018-04-11,52363,665,658,21468.829999999998
38675897,CREDIT CARD,700-18-5702,209-782-7892,Camino,CA,2020-11-12,66092,884,881,15201.16
38675898,MORTGAGE,092-02-6871,262-339-7586,White Lake,WI,2020-10-23,110128,707,737,13215.359999999999
38675899,CREDIT CARD,705-18-4481,209-646-8029,Hanford,CA,2021-02-08,75983,895,900,21275.24
38675900,PERSONAL LOAN,753-07-1805,252-410-5505,Sugar Grove,NC,2021-08-03,62462,656,668,9993.92
38675901,CREDIT CARD,751-18-2188,803-752-1583,Anderson,SC,2021-07-14,53600,741,751,17152.0
38675902,CREDIT CARD,284-15-0917,203-969-5769,New Haven,CT,2020-04-12,76144,654,661,2284.3199999999997
38675903,CREDIT CARD,031-92-1954,252-212-0667,Linville,NC,2019-04-25,52874,792,825,22735.82
38675904,PERSONAL LOAN,052-02-8631,479-296-9631,Cushman,AR,2019-05-17,132482,675,669,18547.480000000003
38675905,MORTGAGE,427-99-9846,339-735-6926,Rockland,MA,2021-08-10,199541,765,815,99770.5
38675906,PERSONAL LOAN,374-37-5828,205-497-0380,Perote,AL,2020-10-09,162715,671,686,73221.75
38675907,MORTGAGE,237-99-0034,339-686-6539,Boston,MA,2021-03-09,849441,824,860,110427.33
38675908,CREDIT CARD,401-73-6248,262-953-8331,Marshfield,WI,2020-08-10,70609,851,861,23300.97
38675909,PERSONAL LOAN,720-18-2433,314-828-5213,Green Ridge,MO,2018-09-28,181431,896,925,68943.78
38675910,CREDIT CARD,538-71-5400,212-474-5833,Scipio Center,NY,2019-09-10,76356,827,838,30542.4
38675911,CREDIT CARD,696-16-2869,210-876-3187,Seadrift,TX,2018-01-13,28572,756,779,9428.76
38675912,MORTGAGE,689-24-1965,216-745-2268,Montville,OH,2019-01-14,467004,676,712,74720.64
38675913,MORTGAGE,754-07-5732,212-949-0231,Elmhurst,NY,2020-06-21,121399,687,679,0.0
38675914,MORTGAGE,463-99-1707,215-777-9044,Jamestown,PA,2020-05-23,671251,713,741,275212.91
38675915,MORTGAGE,086-02-9134,218-416-0648,Winger,MN,2020-12-21,316259,881,919,148641.72999999998
38675916,MORTGAGE,439-99-3873,228-360-4606,Stennis Space Center,MS,2020-09-28,481870,764,790,192748.0
38675917,PERSONAL LOAN,056-02-2563,803-646-8269,Hopkins,SC,2018-04-08,175212,766,815,21025.44
38675918,CREDIT CARD,093-02-0106,218-809-9426,Redwood Falls,MN,2021-03-06,66928,814,848,20078.399999999998
38675919,CREDIT CARD,201-84-7038,319-463-1461,New Hampton,IA,2020-05-13,83046,824,836,12456.9
38675920,MORTGAGE,583-99-5844,314-814-1010,Lees Summit,MO,2020-03-07,571340,695,697,0.0
38675921,PERSONAL LOAN,212-91-7772,218-289-8117,Calumet,MN,2020-09-23,103446,706,696,1034.46
38675922,MORTGAGE,393-33-4234,210-795-8893,Waco,TX,2021-02-13,666621,749,770,233317.34999999998
38675923,MORTGAGE,623-85-9321,201-601-0667,Cliffside Park,NJ,2018-02-02,348816,856,901,143014.56
38675924,CREDIT CARD,411-99-2532,225-346-9643,Baton Rouge,LA,2021-02-28,63977,839,867,1919.31
38675925,PERSONAL LOAN,163-86-3243,231-774-1065,Jonesville,MI,2019-07-04,100744,689,715,15111.599999999999
38675926,CREDIT CARD,320-11-1011,423-589-1860,Gates,TN,2020-03-12,50723,799,826,2536.15
38675927,MORTGAGE,246-99-8252,307-338-5802,Cheyenne,WY,2019-07-04,639891,777,783,0.0
38675928,CREDIT CARD,623-85-4370,239-221-1171,Palatka,FL,2018-11-21,32278,671,690,12265.64
38675929,MORTGAGE,073-02-2883,505-222-0900,San Antonio,NM,2020-03-19,735633,899,927,80919.63
38675930,PERSONAL LOAN,589-99-5636,236-667-5239,Cloverdale,VA,2019-02-01,127061,845,857,17788.54
38675931,CREDIT CARD,322-11-0635,210-407-6908,Hermleigh,TX,2021-07-03,88043,779,805,12326.02
38675932,MORTGAGE,275-17-2575,216-427-8755,Milledgeville,OH,2021-08-24,873001,856,896,288090.33
38675933,MORTGAGE,554-99-7636,405-277-3911,Chester,OK,2019-06-02,320999,817,851,80249.75
38675934,CREDIT CARD,687-24-6592,270-730-8445,Ermine,KY,2018-02-25,84855,889,896,41578.95
38675935,PERSONAL LOAN,641-29-2800,215-467-6523,Philadelphia,PA,2020-06-17,95045,669,703,42770.25
38675936,MORTGAGE,569-99-4144,229-580-8062,Mc Intyre,GA,2021-06-01,345085,728,724,17254.25
38675937,CREDIT CARD,404-73-0477,270-688-3463,Hanson,KY,2021-07-23,31323,854,847,4385.22
38675938,PERSONAL LOAN,339-11-0641,406-233-3039,Rudyard,MT,2019-04-20,30851,794,843,6478.71
38675939,PERSONAL LOAN,325-11-5613,201-296-4319,Voorhees,NJ,2018-11-04,109634,843,876,0.0
38675940,MORTGAGE,344-11-6854,505-372-4466,Canjilon,NM,2020-02-25,158356,757,774,53841.04
38675941,MORTGAGE,379-37-1409,304-371-6040,English,WV,2021-06-12,182268,834,842,0.0
38675942,MORTGAGE,294-15-7825,314-544-9035,Saint Louis,MO,2021-02-28,871503,893,887,17430.06
38675943,CREDIT CARD,054-02-9469,219-339-5407,Fremont,IN,2021-06-22,26443,812,817,1322.15
38675944,CREDIT CARD,561-99-4267,229-269-6107,Jakin,GA,2018-12-16,74763,758,782,31400.46
38675945,CREDIT CARD,170-86-2468,219-423-0611,Columbus,IN,2021-07-08,37047,699,736,2593.2900000000004
38675946,CREDIT CARD,053-02-6473,215-486-8948,New Milford,PA,2018-02-13,92890,749,756,5573.4
